uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedDate,processedBy,remarks,genomicsDataQF,publicationDate,release,dpID,site_download,year_download,source_table
930440f4-b3c7-45f7-a801-a02032d971aa,D06,KONZ,KONZ_042,KONZ_042.basePlot.bgc,2022-07-11T14:31:00Z,2022-07-11T15:49:00Z,KONZ.peakGreenness.2022,NEON.DOC.014048vO,KONZ_042-M-39-20220711|KONZ_042-M-21-20220711|KONZ_042-M-23-20220711,KONZ_042-M-20220711-COMP,B00000083293,OK,NA,0000-0003-2918-8281,NA,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_metagenomicsPooling
b90980e4-a941-467c-9ff7-14974474b369,D06,KONZ,KONZ_045,KONZ_045.basePlot.bgc,2022-07-11T15:10:00Z,2022-07-11T16:24:00Z,KONZ.peakGreenness.2022,NEON.DOC.014048vO,KONZ_045-M-41-20220711|KONZ_045-M-21-20220711|KONZ_045-M-39-20220711,KONZ_045-M-20220711-COMP,B00000017171,OK,NA,0000-0002-1491-0369,NA,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_metagenomicsPooling
7c368657-8e9c-4506-8e6c-9190fe88d5bd,D06,KONZ,KONZ_046,KONZ_046.basePlot.bgc,2022-07-11T17:03:00Z,2022-07-11T18:06:00Z,KONZ.peakGreenness.2022,NEON.DOC.014048vO,KONZ_046-M-41-20220711|KONZ_046-M-21-20220711|KONZ_046-M-23-20220711,KONZ_046-M-20220711-COMP,B00000083319,OK,NA,0000-0003-2918-8281,NA,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_metagenomicsPooling
0020632a-c59b-4589-93fb-a9690b7e8c05,D06,KONZ,KONZ_043,KONZ_043.basePlot.bgc,2022-07-11T18:33:00Z,2022-07-11T20:19:00Z,KONZ.peakGreenness.2022,NEON.DOC.014048vO,KONZ_043-M-23-20220711|KONZ_043-M-41-20220711|KONZ_043-M-21-20220711,KONZ_043-M-20220711-COMP,B00000017194,OK,NA,0000-0002-1491-0369,NA,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_metagenomicsPooling
6c4743c4-9a11-43ba-bf93-b6c07469009b,D06,KONZ,KONZ_002,KONZ_002.basePlot.bgc,2022-07-13T14:30:00Z,2022-07-13T15:47:00Z,KONZ.peakGreenness.2022,NEON.DOC.014048vO,KONZ_002-M-39-20220713|KONZ_002-M-23-20220713|KONZ_002-M-41-20220713,KONZ_002-M-20220713-COMP,B00000083200,OK,NA,0000-0003-2918-8281,NA,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_metagenomicsPooling
0e8843fa-eb78-4c2b-ad2d-b09039be3740,D06,KONZ,KONZ_001,KONZ_001.basePlot.bgc,2022-07-13T17:25:00Z,2022-07-13T18:15:00Z,KONZ.peakGreenness.2022,NEON.DOC.014048vO,KONZ_001-M-23-20220713|KONZ_001-M-21-20220713|KONZ_001-M-39-20220713,KONZ_001-M-20220713-COMP,B00000083199,OK,NA,0000-0003-2918-8281,NA,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_metagenomicsPooling
6b360943-f942-4440-88d9-d2586997c581,D06,KONZ,KONZ_024,KONZ_024.basePlot.bgc,2022-07-14T14:05:00Z,2022-07-14T15:02:00Z,KONZ.peakGreenness.2022,NEON.DOC.014048vO,KONZ_024-M-39-20220714|KONZ_024-M-41-20220714|KONZ_024-M-21-20220714,KONZ_024-M-20220714-COMP,B00000083291,OK,NA,0000-0003-2918-8281,NA,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_metagenomicsPooling
d5ba7e4d-e8f3-460b-8ff0-743aaca6a889,D06,KONZ,KONZ_003,KONZ_003.basePlot.bgc,2022-07-14T16:33:00Z,2022-07-14T17:34:00Z,KONZ.peakGreenness.2022,NEON.DOC.014048vO,KONZ_003-M-41-20220714|KONZ_003-M-39-20220714|KONZ_003-M-21-20220714,KONZ_003-M-20220714-COMP,B00000083210,OK,NA,0000-0003-2918-8281,NA,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_metagenomicsPooling
